true_label,fea_name,raw_difference_incorrect_minus_correct
Anger,OuterBrowRaiserR,0.00868220209247255
Disgust,OuterBrowRaiserR,-0.021628708679433836
Fear,OuterBrowRaiserR,-0.15476775387058803
Happiness,OuterBrowRaiserR,
Neutral,OuterBrowRaiserR,-0.001665493890457878
Sadness,OuterBrowRaiserR,0.05560893800319391
Surprise,OuterBrowRaiserR,-0.3218479459374015
Anger,UpperLidRaiserL,0.034440381072806295
Disgust,UpperLidRaiserL,-0.08737916327782458
Fear,UpperLidRaiserL,-0.1971649259739055
Happiness,UpperLidRaiserL,
Neutral,UpperLidRaiserL,-0.05233978463479091
Sadness,UpperLidRaiserL,-0.024061733994311395
Surprise,UpperLidRaiserL,-0.26968890850356825
Anger,UpperLidRaiserR,0.039905704029158384
Disgust,UpperLidRaiserR,-0.083382226373549
Fear,UpperLidRaiserR,-0.2969857552210984
Happiness,UpperLidRaiserR,
Neutral,UpperLidRaiserR,-0.032086214723501975
Sadness,UpperLidRaiserR,-0.060542334554091186
Surprise,UpperLidRaiserR,-0.35328931068361247
Anger,UpperLipRaiserL,0.18239627319565754
Disgust,UpperLipRaiserL,-0.14491634088706515
Fear,UpperLipRaiserL,0.06430533140236366
Happiness,UpperLipRaiserL,
Neutral,UpperLipRaiserL,0.015586969780750887
Sadness,UpperLipRaiserL,0.0133083216784729
Surprise,UpperLipRaiserL,-0.03661010155646345
Anger,UpperLipRaiserR,0.19608240888430722
Disgust,UpperLipRaiserR,-0.1584190599477646
Fear,UpperLipRaiserR,0.08212563598603968
Happiness,UpperLipRaiserR,
Neutral,UpperLipRaiserR,0.008587342233346618
Sadness,UpperLipRaiserR,0.03039105176955694
Surprise,UpperLipRaiserR,-0.03519308469183072
